INTERNAL NAME;PT (corrigido);BR (corrigido);EN (corrigido);UK (corrigido);ES (corrigido);CL (corrigido);MX (corrigido);FR (corrigido)
NOTAS_REG_AVAL_FERIDAS;Avaliação de feridas - notas;Avaliação de feridas - notas;Wound assessment - notes;Wound assessment - notes;Evaluación de heridas - notas;Evaluación de heridas - notas;Evaluación de heridas - notas;Évaluation des plaies - notes
NOTAS_REG_ALERGIAS;Alergias - notas;Alergias - notas;Allergies - notes;Allergies - notes;Alergias - notas;Alergias - notas;Alergias - notas;Allergies - notes
NOTAS_PARECERES_NUTRI;Nutrição - notas de pareceres;Nutrição - notas de pareceres;Nutrition - consult notes;Nutrition - consultation notes;Nutrición - notas de interconsultas;Nutrición - notas de interconsultas;Nutrición - notas de interconsultas;Nutrition - notes d'avis
NOTAS_PARAMETER_RESULT_ANALISES;Análises - notas do resultado do parâmetro;Análises - notas do resultado do parâmetro;Lab tests - parameter result notes;Lab tests - parameter result notes;Analíticas - notas del resultado del parámetro;Analíticas - notas del resultado del parámetro;Analíticas - notas del resultado del parámetro;Analyses - notes du résultat du paramètre
NOTAS_EXCL_DBC_RV;DBC - notas de exclusão de visita relacionada;DBC - notas de exclusão de visita relacionada;DBCs - related visit exclusion notes;DBCs - related visit exclusion notes;DBC - notas de exclusión de visita relacionada;DBC - notas de exclusión de visita relacionada;DBC - notas de exclusión de visita relacionada;DBC - notes d'exclusion de consultation associée
NOTAS_EXCL_DBC_CA;DBC - notas de exclusão de atividade médica;DBC - notas de exclusão de atividade médica;DBCs - clinical activity exclusion notes;DBCs - clinical activity exclusion notes;DBC - notas de exclusión de actividad médica;DBC - notas de exclusión de actividad médica;DBC - notas de exclusión de actividad médica;DBC - notes d'exclusion d'activité médicale
NOTAS_ESPOLIO;Espólio - notas;Pertences - notas;Patient belongings - notes;Patient belongings - notes;Pertenencias - notas;Pertenencias - notas;Pertenencias - notas;Effets personnels - notes
NOTAS_ENTRADA;Nota de entrada;Nota de entrada;Admission note;Admission note;Nota de entrada;Nota de entrada;Nota de entrada;Note d'entrée
NOTAS_DIARIO_ENF;Diário de enfermagem - notas;Evolução de enfermagem - notas;Nursing notes - notes;Nursing notes - notes;Diario de enfermería - notas;Diario de enfermería - notas;Diario de enfermería - notas;Notes de soins infirmiers - notes
NOTAS_CONSTRUCT_RECEITA_MEDICAMENTOS;Medicação - notas de receita em construção;Medicação - notas de receita em construção;Medication - prescription being filled notes;Medication - prescription being filled notes;Medicación - notas de receta en construcción;Medicación - notas de receta en construcción;Medicación - notas de receta en construcción;Médicaments - notes d'ordonnance en cours d'élaboration
NOTAS_CANCEL_DBC_ITEMS;DBC - notas de cancelamento de atividade médica;DBC - notas de cancelamento de atividade médica;DBCs - clinical activity cancellation notes;DBCs - clinical activity cancellation notes;DBC - notas de cancelación de actividad médica;DBC - notas de cancelación de actividad médica;DBC - notas de cancelación de actividad médica;DBC - notes d'annulation d'activité médicale
NOTAS_CANC_RESULT_ANALISES;Análises - notas de cancelamento do resultado;Análises - notas de cancelamento do resultado;Lab tests - result cancellation notes;Lab tests - result cancellation notes;Analíticas - notas de cancelación del resultado;Analíticas - notas de cancelación del resultado;Analíticas - notas de cancelación del resultado;Analyses - notes d'annulation du résultat
NOTAS_CANC_REQ_PROCEDIMENTOS;Procedimentos - notas de cancelamento de requisição;Procedimentos - notas de cancelamento de requisição;Procedures - order cancellation notes;Procedures - order cancellation notes;Procedimientos - notas de cancelación de la solicitud;Procedimientos - notas de cancelación de la solicitud;Procedimientos - notas de cancelación de la solicitud;Actes - notes d'annulation de la demande
NOTAS_CANC_REQ_PENSO;Penso - notas de cancelamento de requisição;Curativos - notas de cancelamento de requisição;Dressing - order cancellation notes;Dressing - order cancellation notes;Vendaje - notas de cancelación de la solicitud;Vendaje - notas de cancelación de la solicitud;Vendaje - notas de cancelación de la solicitud;Pansement - notes d'annulation de la demande
NOTAS_CANC_REQ_OUT_EXAMES;Outros exames - notas de cancelamento de requisição;Outros exames - notas de cancelamento de requisição;Other exams - order cancellation notes;Other exams - order cancellation notes;Otras pruebas - notas de cancelación de la solicitud;Otras pruebas - notas de cancelación de la solicitud;Otras pruebas - notas de cancelación de la solicitud;Autres examens - notes d'annulation de la demande
NOTAS_CANC_REQ_MONITORIZ;Sinais vitais - notas de cancelamento;Sinais vitais - notas de cancelamento;Vital signs - cancellation notes;Vital signs - cancellation notes;Signos vitales - notas de cancelación;Signos vitales - notas de cancelación;Signos vitales - notas de cancelación;Signes vitaux - notes d'annulation
NOTAS_CANC_REQ_IMAGEM;Imagem - notas de cancelamento de requisição;Imagem - notas de cancelamento de requisição;Imaging - order cancellation notes;Imaging - order cancellation notes;Imagen - notas de cancelación de la solicitud;Imagen - notas de cancelación de la solicitud;Imagen - notas de cancelación de la solicitud;Imagerie - notes d'annulation de la demande
NOTAS_CANC_REQ_ANALISES;Análises - notas de cancelamento de requisição;Análises - notas de cancelamento de requisição;Lab tests - order cancellation notes;Lab tests - order cancellation notes;Analíticas - notas de cancelación de la solicitud;Analíticas - notas de cancelación de la solicitud;Analíticas - notas de cancelación de la solicitud;Analyses- notes d'annulation de la demande
NOTAS_CANC_EXEC_PROCEDIMENTOS;Procedimentos - notas de cancelamento de execução;Procedimentos - notas de cancelamento de execução;Procedures - execution cancellation notes;Procedures - execution cancellation notes;Procedimientos - notas de cancelación de la ejecución;Procedimientos - notas de cancelación de la ejecución;Procedimientos - notas de cancelación de la ejecución;Actes - notes d'annulation de la réalisation
NOTAS_CANC_EXEC_PENSO;Penso - notas de cancelamento de execução;Curativo - notas de cancelamento de execução;Dressing - execution cancellation notes;Dressing - execution cancellation notes;Vendajes - notas de cancelación de la ejecución;Vendajes - notas de cancelación de la ejecución;Vendajes - notas de cancelación de la ejecución;Pansement - notes d'annulation de la réalisation
NOTAS_CANC_DIAGN;Diagnóstico - notas de cancelamento;Diagnóstico - notas de cancelamento;Diagnosis - cancellation notes;Diagnosis - cancellation notes;Diagnóstico - notas de cancelación;Diagnóstico - notas de cancelación;Diagnóstico - notas de cancelación;Diagnostic - notes d'annulation
NOTAS_CANC_ALERGIAS;Alergias - notas de cancelamento;Alergias - notas de cancelamento;Allergies - cancellation notes;Allergies - cancellation notes;Alergias - notas de cancelación;Alergias - notas de cancelación;Alergias - notas de cancelación;Allergies - notes d'annulation
NOTAS_ALTA_NUTRI;Notas de alta de consulta de nutrição;Notas de alta de consulta de nutrição;Nutrition discharge notes;Nutrition discharge notes;Notas de alta de consulta de nutrición;Notas de alta de consulta de nutrición;Notas de alta de consulta de nutrición;Notes de sortie de la consultation de nutrition
NOTAS_ALTA_MED;Alta médica - notas;Alta médica - notas;Physician discharge - notes;Doctor discharge - notes;Alta médica - notas;Alta médica - notas;Alta médica - notas;Sortie médicale - notes
NOTAS_ALTA_ENF;Alta de enfermagem - notas;Alta de enfermagem - notas;Nursing discharge - notes;Nursing discharge - notes;Alta de enfermería - notas;Alta de enfermería - notas;Alta de enfermería - notas;Sortie de soins infirmiers - notes
NOTAS_ALTA_ADM;Alta administrativa - notas;Alta administrativa - notas;Administrative discharge - notes;Administrative discharge - notes;Alta administrativa - notas;Alta administrativa - notas;Alta administrativa - notas;Sortie administrative - notes
NOTAS_ACESSO_VIPS;VIP - notas de acesso;VIP - notas de acesso;VIP - access notes;VIP - access notes;VIP - notas de acceso;VIP - notas de acceso;VIP - notas de acceso;VIP - notes d'accès
NORTON_CANCEL;Cancelamento de registos de Norton;Cancelamento de registros de Norton;Norton records cancellation;Norton records cancellation;Cancelación de registros de Norton;Cancelación de registros de Norton;Cancelación de registros de Norton;Annulation de saisies de Norton
NCH_EDITION_REASON;HCN - motivo de edição da avaliação;HCN - motivo de edição da avaliação;NCH - reason for editing assessement;NCH - reason for editing assessement;HCN - motivo de edición de la evaluación;HCN - motivo de edición de la evaluación;HCN - motivo de edición de la evaluación;HSI - motif de modification de l'évaluation
MFR_REC_NOTES;Sessão de tratamento - notas;Sessão de tratamento - notas;Treatment session - notes;Treatment session - notes;Sesión de tratamiento - notas;Sesión de tratamiento - notas;Sesión de tratamiento - notas;Séance de traitement - notes
MFR_CANC_NOTES;Sessão de tratamento - notas de cancelamento;Sessão de tratamento - notas de cancelamento;Treatment session - cancellation notes;Treatment session - cancellation notes;Sesión de tratamiento - notas de cancelación;Sesión de tratamiento - notas de cancelación;Sesión de tratamiento - notas de cancelación;Séance de traitement - notes d'annulation
MEDICATION_BARCODE;Código de barras inválido - justificação de administração;Código de barras inválido - justificativa de administração;Invalid barcode - reason for administration;Invalid barcode - reason for administration;Código de barras no válido - motivo de administración;Código de barras no válido - motivo de administración;Código de barras no válido - motivo de administración;Code-barres non valide - justification d'administration
MEDIC_ANTERIOR;Medicação anterior - relatos;Medicação anterior - relatos;Previous medication - reports;Previous medication - reports;Medicación anterior - informes;Medicación anterior - informes;Medicación anterior - informes;Médicaments précédents - traitements personnels
LABOR_AND_DELIVERY_NOTES;Trabalho de parto - notas adicionais;Trabalho de parto - notas adicionais;Labor and delivery - additional notes;Labour and delivery - additional notes;Trabajo de parto - notas adicionales;Trabajo de parto - notas adicionales;Trabajo de parto - notas adicionales;Travail d'accouchement - notes additionnelles
JUSTIFICATIONS_OF_PREPARATION;Justificação de preparação;Justificativa da preparação;Preparation reason;Preparation reason;Motivo de la preparación;Motivo de la preparación;Motivo de la preparación;Justification de préparation
JUSTIFICATION_TUBERCULIN;Vacinação - registo da requisição de tuberculina pedida noutro local;Vacinação - registro da requisição de tuberculina pedida em outro local;Immunization - tuberculin skin test ordered in another facility;Immunization - tuberculin skin test ordered in another facility;Vacunación - registro de la solicitud de tuberculina pedida en otro local;Vacunación - registro de la solicitud de tuberculina pedida en otro local;Vacunación - registro de la solicitud de tuberculina pedida en otro local;Vaccination - saisie de demande de test à la tuberculine effectuée dans un autre établissement
JUSTIFICACAO_ALTA_MED;Alta médica - justificação;Alta médica - justificativa;Physician discharge - reason;Doctor discharge - reason;Alta médica - justificación;Alta médica - justificación;Alta médica - justificación;Sortie médicale - justification
JUSTIFIC_PRESCR;Justificação de prescrição;Justificativa de prescrição;Prescription reason;Prescription reason;Justificación de la prescripción;Justificación de la prescripción;Justificación de la prescripción;Justification de prescription
INTERVENÇÃO_SOCIAL_CANCEL;Cancelamento de intervenção social;Cancelamento de intervenção social;Social intervention cancellation;Social intervention cancellation;Cancelación de intervención social;Cancelación de intervención social;Cancelación de intervención social;Annulation d'intervention sociale
INTERNAL_TRIALS_DISCONTINUE_NOTES;Ensaios clínicos - notas de descontinuação de ensaio;Ensaios clínicos - notas de descontinuação de ensaio;Clinical trials - discontinuation notes;Clinical trials - discontinuation notes;Ensayos clínicos - notas de interrupción del ensayo;Ensayos clínicos - notas de interrupción del ensayo;Ensayos clínicos - notas de interrupción del ensayo;Essais cliniques - notes de discontinuation de l'essai
INTERNAL_TRIALS_CANCEL_NOTES;Ensaios clínicos internos - notas de cancelamento;Ensaios clínicos internos - notas de cancelamento;Internal clinical trials - cancellation notes;Internal clinical trials - cancellation notes;Ensayos clínicos internos - notas de cancelación;Ensayos clínicos internos - notas de cancelación;Ensayos clínicos internos - notas de cancelación;Essais cliniques internes - notes d'annulation
INSTITUTION_TRANSFER;Transferência de instituição - notas;Transferência de instituição - notas;Facility transfer - notes;Facility transfer - notes;Transferencia de institución - notas;Transferencia de institución - notas;Transferencia de institución - notas;Transfert d'établissement - notes
ICNP_INTERV_SUSPEND_NOTES;Intervenção (CIPE) - notas de suspensão;Intervenção (CIPE) - notas de suspensão;Intervention (ICNP) - on hold notes;Intervention (ICNP) - on hold notes;Intervención (CIPE) - notas de suspensión;Intervención (CIPE) - notas de suspensión;Intervención (CIPE) - notas de suspensión;Intervention (ICNP) - notes de suspension
ICNP_INTERV_NOTES;Intervenção (CIPE) - notas;Intervenção (CIPE) - notas;Intervention (ICNP) - notes;Intervention (ICNP) - notes;Intervención (CIPE) - notas;Intervención (CIPE) - notas;Intervención (CIPE) - notas;Intervention (ICNP) - notes
ICNP_INTERV_CANCEL_NOTES;Intervenção (CIPE) - notas de cancelamento de requisição;Intervenção (CIPE) - notas de cancelamento de requisição;Intervention (ICNP) - order cancellation notes;Intervention (ICNP) - order cancellation notes;Intervención (CIPE) - notas de cancelación de solicitud;Intervención (CIPE) - notas de cancelación de solicitud;Intervención (CIPE) - notas de cancelación de solicitud;Intervention (ICNP) - notes d'annulation de la demande
ICNP_EXEC_CANCEL_NOTES;Intervenção (CIPE) - notas de cancelamento de execução;Intervenção (CIPE) - notas de cancelamento de execução;Intervention (ICNP) - execution cancellation notes;Intervention (ICNP) - execution cancellation notes;Intervención (CIPE) - notas de cancelación de ejecución;Intervención (CIPE) - notas de cancelación de ejecución;Intervención (CIPE) - notas de cancelación de ejecución;Intervention (ICNP) - notes d'annulation de la réalisation
ICNP_DIAG_SUSPEND_NOTES;Diagnóstico (CIPE) - notas de suspensão;Diagnóstico (CIPE) - notas de suspensão;Diagnosis (ICNP) - on hold notes;Diagnosis (ICNP) - on hold notes;Diagnóstico (CIPE) - notas de suspensión;Diagnóstico (CIPE) - notas de suspensión;Diagnóstico (CIPE) - notas de suspensión;Diagnostic (ICNP) - notes de suspension
ICNP_DIAG_NOTES;Diagnóstico (CIPE) - notas;Diagnóstico (CIPE) - notas;Diagnosis (ICNP) - notes;Diagnosis (ICNP) - notes;Diagnóstico (CIPE) - notas;Diagnóstico (CIPE) - notas;Diagnóstico (CIPE) - notas;Diagnostic (ICNP) - notes
ICNP_DIAG_CANCEL_NOTES;Diagnóstico (CIPE) - notas de cancelamento;Diagnóstico (CIPE) - notas de cancelamento;Diagnosis (ICNP) - cancellation notes;Diagnosis (ICNP) - cancellation notes;Diagnóstico (CIPE) - notas de cancelación;Diagnóstico (CIPE) - notas de cancelación;Diagnóstico (CIPE) - notas de cancelación;Diagnostic (ICNP) - notes d'annulation
HP_NOTES_CANCEL;Antecedentes e exame físico - notas de cancelamento;Antecedentes e exame físico - notas de cancelamento;History & Physical - cancellation notes;History & Physical - cancellation notes;Antecedentes y examen físico - notas de cancelación;Antecedentes y examen físico - notas de cancelación;Antecedentes y examen físico - notas de cancelación;Antécédents et examen physique - notes d'annulation
HP_ADDENDUM_CREATE;Antecedentes e exame físico - notas de criação de adenda;Antecedentes e exame físico - notas de criação de adenda;History & Physical - addendum creation notes;History & Physical - addendum creation notes;Antecedentes y examen físico - notas de creación de anexo;Antecedentes y examen físico - notas de creación de anexo;Antecedentes y examen físico - notas de creación de anexo;Antécédents et examen physique - notes de création de l'addenda
HP_ADDENDUM_CANCEL;Antecedentes e exame físico - notas de cancelamento de adenda;Antecedentes e exame físico - notas de cancelamento de adenda;History & Physical - addendum cancellation notes;History & Physical - addendum cancellation notes;Antecedentes y examen físico - notas de cancelación de anexo;Antecedentes y examen físico - notas de cancelación de anexo;Antecedentes y examen físico - notas de cancelación de anexo;Antécédents et examen physique - notes d'annulation de l'addenda
HIST_ACTUAL;História da doença atual;História da doença atual;History of present illness;History of present illness;Historia de la enfermedad actual;Historia de la enfermedad actual;Historia de la enfermedad actual;Histoire de la maladie
HEALTH_PROGRAM_CANCEL_NOTES;Notas do cancelamento de programas de saúde;Notas do cancelamento de programas de saúde;Health program cancellation notes;Health programme cancellation notes;Notas de cancelación de programas de salud;Notas de cancelación de programas de salud;Notas de cancelación de programas de salud;Notes d'annulation de programmes de santé
HEADER;Cabeçalho;Cabeçalho;Header;Header;Cabecera;Cabecera;Cabecera;En-tête
HANDOFF_CANCEL;Transferência de responsabilidade - notas de cancelamento;Transferência de responsabilidade - notas de cancelamento;Hand off - cancellation notes;Hand off - cancellation notes;Transferencia de responsabilidad - notas de cancelación;Transferencia de responsabilidad - notas de cancelación;Transferencia de responsabilidad - notas de cancelación;Transfert de prise en charge - notes d'annulation
HABIT_REG_NOTES;Hábitos - notas;Hábitos - notas;Habits - notes;Habits - notes;Hábitos - notas;Hábitos - notas;Hábitos - notas;Habitudes - notes
HABIT_CANCEL_NOTES;Hábitos - notas de cancelamento;Hábitos - notas de cancelamento;Habits - cancellation notes;Habits - cancellation notes;Hábitos - notas de cancelación;Hábitos - notas de cancelación;Hábitos - notas de cancelación;Habitudes - notes d'annulation
GUIDELINE_CANCEL_NOTES;Guidelines - notas de cancelamento;Guidelines - notas de cancelamento;Guidelines - cancellation notes;Guidelines - cancellation notes;Guías clínicas - notas de cancelación;Guías clínicas - notas de cancelación;Guías clínicas - notas de cancelación;Lignes directrices - notes d'annulation
GENERAL_PEDIATRIC_ASSESSMENT;Avaliação pediátrica geral;Avaliação pediátrica geral;General pediatric assessment;General paediatric assessment;Evaluación pediátrica general;Evaluación pediátrica general;Evaluación pediátrica general;Évaluation pédiatrique générale
FREE_TEXT_PROGRESS_NOTE;Nota: texto livre;Nota: texto livre;Note: free text;Note: free text;Nota: texto libre;Nota: texto libre;Nota: texto libre;Note : texte libre
EX_FISICO;Exame físico;Exame físico;Physical exam;Physical exam;Examen físico;Examen físico;Examen físico;Examen physique
EVALUATION_NOTES;Notas de avaliação;Notas de avaliação;Assessment notes;Assessment notes;Notas de evaluación;Notas de evaluación;Notas de evaluación;Notes d'évaluation
EDITABLE_REPORTS_NOTES;Relatórios editáveis - notas;Relatórios editáveis - notas;Editable reports - notes;Editable reports - notes;Informes editables - notas;Informes editables - notas;Informes editables - notas;Rapports éditables - notes
DS_NOTES_CANCEL;Nota de alta - notas de cancelamento;Nota de alta - notas de cancelamento;Discharge note - cancellation notes;Discharge note - cancellation notes;Nota de alta - notas de cancelación;Nota de alta - notas de cancelación;Nota de alta - notas de cancelación;Note de sortie - notes d'annulation
DS_ADDENDUM_CREATE;Nota de alta - criação de adenda;Nota de alta - criação de adendo;Discharge note - addendum creation;Discharge note - addendum creation;Nota de alta - creación de anexo;Nota de alta - creación de anexo;Nota de alta - creación de anexo;Note de sortie - création d'addenda
DS_ADDENDUM_CANCEL;Nota de alta - cancelamento da adenda;Nota de alta - cancelamento do adendo;Discharge note - addendum cancellation;Discharge note - addendum cancellation;Nota de alta - cancelación de anexo;Nota de alta - cancelación de anexo;Nota de alta - cancelación de anexo;Note de sortie - annulation de l'addenda
DOCUMENTS_NOTES;Notas sobre documentos;Notas sobre documentos;Document notes;Document notes;Notas sobre documentos;Notas sobre documentos;Notas sobre documentos;Notes concernant des documents
DISCHARGE_PRESCRIPTION_NOTE;Receita (alta);Receita (alta);Prescription (discharge);Prescription (discharge);Receta (alta);Receta (alta);Receta (alta);Ordonnance (sortie)
DISCHARGE_PATIENT_NOTE;Alta - notas para paciente;Alta - notas para paciente;Discharge - notes for patient;Discharge - notes for patient;Alta - notas para el paciente;Alta - notas para el paciente;Alta - notas para el paciente;Sortie - notes pour le patient
DISCHARGE_NOTE;Alta - notas;Alta - notas;Discharge - notes;Discharge - notes;Alta - notas;Alta - notas;Alta - notas;Sortie - notes
DISCHARGE_DOCTOR_NOTE;Alta - notas para médico de família;Alta - notas para médico de família;Discharge - notes for General Practitioner;Discharge - notes for General Practitioner;Alta - notas para médico de familia;Alta - notas para médico de familia;Alta - notas para médico de familia;Sortie - notes pour le médecin traitant
DISCHARGE_CLINIC;Alta médica;Alta médica;Physician discharge;Doctor discharge;Alta médica;Alta médica;Alta médica;Sortie médicale
DISCHARGE_ADMIN;Alta administrativa;Alta administrativa;Administrative discharge;Administrative discharge;Alta administrativa;Alta administrativa;Alta administrativa;Sortie administrative
DIETITIAN_REPORT;Relatório de nutrição;Relatório de nutrição;Nutrition report;Nutrition report;Informe de nutrición;Informe de nutrición;Informe de nutrición;Rapport sur la nutrition
DIETITIAN_INTERV_PLAN;Planos de intervenção - notas de cancelamento;Planos de intervenção - notas de cancelamento;Intervention plan - cancellation notes;Intervention plan - cancellation notes;Planes de intervención - notas de cancelación;Planes de intervención - notas de cancelación;Planes de intervención - notas de cancelación;Plans d'intervention - notes d'annulation
DIETITIAN_FOLLOW_UP_NOTES;Notas de acompanhamento do nutricionista;Notas de acompanhamento do nutricionista;Dietitian follow-up notes;Dietician follow-up notes;Notas de seguimiento del nutricionista;Notas de seguimiento del nutricionista;Notas de seguimiento del nutricionista;Notes de suivi du nutritionniste
DIETITIAN_FOLLOW_UP_CANCEL_NOTES;Notas de acompanhamento - notas de cancelamento;Notas de acompanhamento - notas de cancelamento;Follow-up notes - cancellation notes;Follow-up notes - cancellation notes;Notas de seguimiento - notas de cancelación;Notas de seguimiento - notas de cancelación;Notas de seguimiento - notas de cancelación;Notes de suivi - notes d'annulation
DIAGNOSIS_GENERAL_NOTES_CANCEL;Diagnósticos - cancelamento de considerações diagnósticas;Diagnósticos - cancelamento de considerações diagnósticas;Diagnoses - general notes cancellation;Diagnoses - general notes cancellation;Diagnósticos - cancelación de consideraciones diagnósticas;Diagnósticos - cancelación de consideraciones diagnósticas;Diagnósticos - cancelación de consideraciones diagnósticas;Diagnostics - annulation de commentaires
DIAGNOSIS_FINAL_GENERAL_NOTES;Diagnósticos de saída - notas gerais;Diagnósticos de saída - notas gerais;Final diagnoses - general notes;Final diagnoses - general notes;Diagnósticos de salida - notas generales;Diagnósticos de salida - notas generales;Diagnósticos de salida - notas generales;Diagnostics finals - notes générales
DIAGNOSIS_FINAL_CANCEL_NOTES;Diagnósticos de saída - notas de cancelamento;Diagnósticos de saída - notas de cancelamento;Final diagnoses - cancellation notes;Final diagnoses - cancellation notes;Diagnósticos de salida - notas de cancelación;Diagnósticos de salida - notas de cancelación;Diagnósticos de salida - notas de cancelación;Diagnostics finals - notes d'annulation
DEATH_DATA_CANCEL_NOTES;Registo de óbito - notas de cancelamento;Registro de óbito - notas de cancelamento;Patient expiration documentation - cancellation notes;Patient expiration documentation - cancellation notes;Registro de óbito - notas de cancelación;Registro de óbito - notas de cancelación;Registro de óbito - notas de cancelación;Constat du décès - notes d'annulation
CRITICAL_CARE_NOTES;Notas de cuidados críticos - notas adicionais;Notas de cuidados críticos - notas adicionais;Critical care notes - additional notes;Critical care notes - additional notes;Notas de cuidados críticos - notas adicionales;Notas de cuidados críticos - notas adicionales;Notas de cuidados críticos - notas adicionales;Notes de soins critiques - notes additionnelles
CREATION_NOTES_NUTRI;Dietas - notas de criação;Dietas - notas de criação;Diets - creation notes;Diets - creation notes;Dietas - notas de creación;Dietas - notas de creación;Dietas - notas de creación;Régimes alimentaires - notes de création
CONSULTATION_REPORT;Resumo da consulta;Resumo da consulta;Appointment summary;Appointment summary;Resumen de la cita;Resumen del agendamiento;Resumen de la cita;Résumé de la consultation
CM_REQUEST_CANCEL_NOTES;Case management - notas de cancelamento de pedido;Case management - notas de cancelamento de pedido;Case Management - request cancellation notes;Case Management - request cancellation notes;Trabajador social - notas de cancelación de la solicitud;Trabajador social - notas de cancelación de la solicitud;Trabajador social - notas de cancelación de la solicitud;Case management - notes d'annulation de la demande
CM_PLAN_CANCEL_NOTES;Case management - notas de cancelamento de plano;Case management - notas de cancelamento de plano;Case Management - plan cancellation notes;Case Management - plan cancellation notes;Trabajador social - notas de cancelación del plan;Trabajador social - notas de cancelación del plan;Trabajador social - notas de cancelación del plan;Case management - notes d'annulation du plan
CM_FOLLOWUP_CANCEL_NOTES;Case management - notas de cancelamento de acompanhamento;Case management - notas de cancelamento de acompanhamento;Case Management - follow-up cancellation notes;Case Management - follow-up cancellation notes;Trabajador social - notas de cancelación del seguimiento;Trabajador social - notas de cancelación del seguimiento;Trabajador social - notas de cancelación del seguimiento;Case management - notes d'annulation de suivi
CM_FOLLOW_UP_NOTES;Case management - notas de acompanhamento;Case management - notas de acompanhamento;Case Management - follow-up notes;Case Management - follow-up notes;Trabajador social - notas de seguimiento;Trabajador social - notas de seguimiento;Trabajador social - notas de seguimiento;Case management - notes de suivi
CM_END_ENCOUNTER_CANCEL_NOTES;Case manager - notas de cancelamento de fim de contacto;Case manager - notas de cancelamento de fim de contato;Case Manager - end of encounter cancellation notes;Case Manager - end of encounter cancellation notes;Trabajador social - notas de cancelación de fin de contacto;Trabajador social - notas de cancelación de fin de contacto;Trabajador social - notas de cancelación de fin de contacto;Case manager - notes d'annulation de fin de consultation
CM_ENCOUNTER_CANCEL_NOTES;Case manager - notas de cancelamento de contacto de acompanhamento;Case manager - notas de cancelamento de contato de acompanhamento;Case Manager - follow-up encounter cancellation notes;Case Manager - follow-up encounter cancellation notes;Trabajador social - notas de cancelación de contacto de seguimiento;Trabajador social - notas de cancelación de contacto de seguimiento;Trabajador social - notas de cancelación de contacto de seguimiento;Case manager - notes d'annulation de consultation de suivi
CM_3;Case manager - plano;Case manager - plano;Case Manager - plan;Case Manager - plan;Trabajador social - plan;Trabajador social - plan;Trabajador social - plan;Case manager - plan
CM_2;Case manager - objetivos;Case manager - objetivos;Case Manager - objectives;Case Manager - objectives;Trabajador social - objetivos;Trabajador social - objetivos;Trabajador social - objetivos;Case manager - objectifs
CM_1;Case manager - necessidades imediatas;Case manager - necessidades imediatas;Case Manager - immediate needs;Case Manager - immediate needs;Trabajador social - necesidades inmediatas;Trabajador social - necesidades inmediatas;Trabajador social - necesidades inmediatas;Case manager - besoins immédiats
CM_0;Case manager - notas de internamento;Case manager - notas de internação;Case Manager - admission notes;Case Manager - admission notes;Trabajador social - notas de hospitalización;Trabajador social - notas de internamiento;Trabajador social - notas de hospitalización;Case manager - notes d'hospitalisation
CIT_CANCEL_NOTES;Certificados de incapacidade temporária - notas de cancelamento;Certificados de incapacidade temporária - notas de cancelamento;Temporary work disability certificates - cancellation notes;Temporary work disability certificates - cancellation notes;Certificados de incapacidad temporal - notas de cancelación;Certificados de incapacidad temporal - notas de cancelación;Certificados de incapacidad temporal - notas de cancelación;Certificats d'incapacité temporaire - notes d'annulation
CIPE_DOCUMENTATION_NOTES;CIPE - notas de documentação da intervenção;CIPE - notas de documentação da intervenção;ICNP - intervention notes;ICNP - intervention notes;CIPE - notas de documentación de la intervención;CIPE - notas de documentación de la intervención;CIPE - notas de documentación de la intervención;ICNP - notes de saisie de l'intervention
CDS_REASON_NOTES;Apoio à Decisão Clínica - notas;Apoio à Decisão Clínica - notas;Clinical Decision Support - notes;Clinical Decision Support - notes;Apoyo a la Decisión Clínica - notas;Apoyo a la Decisión Clínica - notas;Apoyo a la Decisión Clínica - notas;Aide à la décision clinique - notes
CANCELLED_NOTES_MFR_ICF;Avaliações MFR - notas de cancelamento das avaliações CIF;Avaliações MFR - notas de cancelamento das avaliações CIF;PM&R assessments - ICF assessment cancellation notes;Physiotherapy assessments - ICF assessment cancellation notes;Evaluaciones MFR - notas de cancelación de las evaluaciones;Evaluaciones MFR - notas de cancelación de las evaluaciones;Evaluaciones MFR - notas de cancelación de las evaluaciones;Évaluations MPR - notes d'annulation des évaluations CIF
CANCEL_TREATMENT_PLAN;Plano de tratamento de cancro;Plano de tratamento de câncer;Cancer treatment plan;Cancer treatment plan;Plan de tratamiento de cáncer;Plan de tratamiento de cáncer;Plan de tratamiento de cáncer;Plan de traitement du cancer
CANCEL_RECEITAS;Cancelamento de receitas;Cancelamento de receitas;Prescription cancellation;Prescription cancellation;Cancelación de recetas;Cancelación de recetas;Cancelación de recetas;Annulation d'ordonnances
CANCEL_NOTES_NUTRI;Dieta - notas de cancelamento;Dieta - notas de cancelamento;Diet - cancellation notes;Diet - cancellation notes;Dieta - notas de cancelación;Dieta - notas de cancelación;Dieta - notas de cancelación;Régime alimentaire - notes d'annulation
BLOOD_TYPE_NOTES_REVISION;Grupo sanguíneo - notas de revisão;Grupo sanguíneo - notas de revisão;Blood type - review notes;Blood type - review notes;Grupo sanguíneo - notas de revisión;Grupo sanguíneo - notas de revisión;Grupo sanguíneo - notas de revisión;Groupe sanguin - notes de révision
